"date","load"
2011-07-01,3480.74780453627
2011-07-02,3457.29480347048
2011-07-03,3588.61916239477
2011-07-04,3550.6325021147
2011-07-05,3346.12374415397
2011-07-06,3251.76304043626
2011-07-07,3571.121170132
2011-07-08,3652.62412672279
2011-07-09,3655.08925674328
2011-07-10,3506.08216024431
2011-07-11,3927.67643053153
2011-07-12,3828.88574094062
2011-07-13,3646.22907280854
2011-07-14,3677.77602156176
2011-07-15,3779.89105903348
2011-07-16,3899.65517632023
2011-07-17,4049.56967719407
2011-07-18,4033.36868562699
2011-07-19,3814.63007359862
2011-07-20,3802.75809753898
2011-07-21,3820.80010661121
2011-07-22,3873.13085167866
2011-07-23,3592.36920335035
2011-07-24,3614.8605454543
2011-07-25,3897.77606179703
2011-07-26,4137.63558011985
2011-07-27,4008.77722949783
2011-07-28,3745.60646845368
2011-07-29,3825.98521754828
2011-07-30,3949.96000222261
2011-07-31,3969.10350770403
