"date","load"
2011-07-01,3444.4832172646
2011-07-02,3647.67564084351
2011-07-03,3981.79689631717
2011-07-04,4066.59563756141
2011-07-05,3920.41759202034
2011-07-06,3831.16165352964
2011-07-07,3784.16774603161
2011-07-08,3737.01723375882
2011-07-09,3706.11173676421
2011-07-10,3865.12214251808
2011-07-11,3885.00580170876
2011-07-12,3742.81025271386
2011-07-13,3678.92647662007
2011-07-14,3653.63705096232
2011-07-15,3618.90635174711
2011-07-16,3594.13426063505
2011-07-17,3757.00477219621
2011-07-18,3780.7397288175
2011-07-19,3642.98001523313
2011-07-20,3583.91571997795
2011-07-21,3563.49911366932
2011-07-22,3533.4972514415
2011-07-23,3513.25512062114
2011-07-24,3680.47415846422
2011-07-25,3708.40823526309
2011-07-26,3574.72026068202
2011-07-27,3519.61012121329
2011-07-28,3503.03317876361
2011-07-29,3476.75786171222
2011-07-30,3460.13109699068
2011-07-31,3630.85714841891
