"date","load"
2011-07-01,3743.09055294285
2011-07-02,3743.09055294285
2011-07-03,3743.09055294285
2011-07-04,3743.09055294285
2011-07-05,3743.09055294285
2011-07-06,3743.09055294285
2011-07-07,3743.09055294285
2011-07-08,3743.09055294285
2011-07-09,3743.09055294285
2011-07-10,3743.09055294285
2011-07-11,3743.09055294285
2011-07-12,3743.09055294285
2011-07-13,3743.09055294285
2011-07-14,3743.09055294285
2011-07-15,3743.09055294285
2011-07-16,3743.09055294285
2011-07-17,3743.09055294285
2011-07-18,3743.09055294285
2011-07-19,3743.09055294285
2011-07-20,3743.09055294285
2011-07-21,3743.09055294285
2011-07-22,3743.09055294285
2011-07-23,3743.09055294285
2011-07-24,3743.09055294285
2011-07-25,3743.09055294285
2011-07-26,3743.09055294285
2011-07-27,3743.09055294285
2011-07-28,3743.09055294285
2011-07-29,3743.09055294285
2011-07-30,3743.09055294285
2011-07-31,3743.09055294285
