"date","load"
2011-07-01,3767.19429348774
2011-07-02,3685.77028317413
2011-07-03,4099.68725450954
2011-07-04,4068.26862852064
2011-07-05,3479.93865936632
2011-07-06,3396.19249643158
2011-07-07,3605.75361360051
2011-07-08,3996.60013134111
2011-07-09,3904.70773172585
2011-07-10,4027.42219490163
2011-07-11,4450.11747921986
2011-07-12,4001.44070342647
2011-07-13,3802.54609814037
2011-07-14,3706.07217779919
2011-07-15,4090.39184539815
2011-07-16,4153.58960756489
2011-07-17,4603.31216086951
2011-07-18,4567.73732837812
2011-07-19,3934.22235107583
2011-07-20,3903.00594878976
2011-07-21,3820.3165394159
2011-07-22,4186.25725678948
2011-07-23,3842.73816056249
2011-07-24,4116.1198732743
2011-07-25,4401.02445898678
2011-07-26,4242.78081888547
2011-07-27,4145.16490401893
2011-07-28,3811.11316551645
2011-07-29,4148.46072858107
2011-07-30,4249.97491607823
2011-07-31,4523.74365288472
