"date","load"
2011-07-01,3540.94040834966
2011-07-02,3662.53912960879
2011-07-03,3766.31287829055
2011-07-04,3751.09327126073
2011-07-05,3683.18092542649
2011-07-06,3678.65261617506
2011-07-07,3810.05594891826
2011-07-08,3836.75332007582
2011-07-09,3673.38120360931
2011-07-10,3635.07380443797
2011-07-11,3640.04681056085
2011-07-12,3659.7224915825
2011-07-13,3600.50525572472
2011-07-14,3558.70640756821
2011-07-15,3649.70724898477
2011-07-16,3776.41261707274
2011-07-17,3837.5192169569
2011-07-18,3723.62588384207
2011-07-19,3443.04617502787
2011-07-20,3121.55865289222
2011-07-21,2901.86571999751
2011-07-22,2954.87329720009
2011-07-23,3083.32486098954
2011-07-24,3173.49923692513
2011-07-25,3191.10769863845
2011-07-26,3179.02586133833
2011-07-27,3116.51292205444
2011-07-28,3063.98571755318
2011-07-29,2942.40141331934
2011-07-30,2920.75317283759
2011-07-31,2899.94941832568
